H         1.000   1.008  19.2 8.3748e-05 2.6300e-01  1.8639 3.2718 0.14092 5.7273 0.00 1.0 1.3606e-02
He        2.000   4.003  41.8 1.6632e-04 2.6300e-01  2.2017 3.6122 0.13443 5.8347 0.00 1.0 7.7872e-02
C         6.000  12.011  78.0 2.0000e+00 2.8803e+01 -0.0351 2.4860 0.20240 3.0036 0.10 0.0 1.0251e+00
N         7.000  14.007  82.0 1.1653e-03 6.9500e-01  1.7378 4.1323 0.15349 3.2125 0.00 1.0 1.4782e+00
O         8.000  15.999  95.0 1.3315e-03 7.4400e-01  1.7541 4.3213 0.11778 3.2913 0.00 0.0 2.0359e+00
Na       11.000  22.990 149.0 9.7100e-01 1.9641e+01  0.2880 3.1962 0.07772 3.6452 0.08 0.0 4.4097e+00
Al       13.000  26.980 166.0 2.6989e+00 3.2860e+01  0.1708 3.0127 0.08024 3.6345 0.12 0.0 6.5929e+00
Si       14.000  28.090 173.0 2.3300e+00 3.1055e+01  0.2014 2.8715 0.14921 3.2546 0.14 0.0 7.8751e+00
P        15.000  30.974 173.0 2.2000e+00 2.9743e+01  0.1696 2.7815 0.23610 2.9158 0.14 0.0 9.2905e+00
Ar       18.000  39.948 188.0 1.6620e-03 7.8900e-01  1.7635 4.4855 0.19714 2.9618 0.00 1.0 1.4382e+01
Fe       26.000  55.847 286.0 7.8740e+00 5.5172e+01 -0.0012 3.1531 0.14680 2.9632 0.12 0.0 3.4582e+01
Ni       28.000  58.690 311.0 8.9020e+00 5.9385e+01 -0.0566 3.1851 0.16496 2.8430 0.10 0.0 4.1324e+01
Cu       29.000  63.550 323.0 8.9600e+00 5.8270e+01 -0.0254 3.2792 0.14339 2.9044 0.08 0.0 4.4973e+01
Ge       32.000  72.610 350.0 5.3230e+00 4.4141e+01  0.3376 3.6096 0.07188 3.3306 0.14 0.0 5.7047e+01
Ag       47.000 107.870 470.0 1.0500e+01 6.1635e+01  0.0657 3.1074 0.24585 2.6899 0.14 0.0 1.4451e+02
Ba       56.000 137.330 491.0 3.5000e+00 3.4425e+01  0.4190 3.4547 0.18268 2.8906 0.14 0.0 2.2118e+02
Os       76.000 190.200 746.0 2.2570e+01 8.6537e+01  0.0891 3.5414 0.12751 2.9608 0.10 0.0 4.6939e+02
